Date,Country,City,Specie,count,min,max,median,variance
17/08/2024,CN,Beijing,pm25,283,34,127,78,3398.11
18/08/2024,CN,Beijing,pm25,286,13,124,57,3529.61
19/08/2024,CN,Beijing,pm25,285,21,109,57,3529.08
20/08/2024,CN,Beijing,pm25,272,13,74,34,2748.42
21/08/2024,CN,Beijing,pm25,274,13,74,30,1950.45
22/08/2024,CN,Beijing,pm25,278,13,93,50,3495.82
23/08/2024,CN,Beijing,pm25,285,17,163,65,11124.4
24/08/2024,CN,Beijing,pm25,284,13,102,55,2818.82
25/08/2024,CN,Beijing,pm25,287,30,114,59,2985.38
26/08/2024,CN,Beijing,pm25,271,9,107,25,6460.7
27/08/2024,CN,Beijing,pm25,256,13,93,30,2732.24
28/08/2024,CN,Beijing,pm25,282,25,102,55,1438.66
29/08/2024,CN,Beijing,pm25,286,46,114,72,1581.17
30/08/2024,CN,Beijing,pm25,283,46,147,89,5731.9
31/08/2024,CN,Beijing,pm25,287,34,169,99,18510.1
1/9/2024,CN,Beijing,pm25,267,5,107,53,9819.44
2/9/2024,CN,Beijing,pm25,165,5,65,21,1973.5
3/9/2024,CN,Beijing,pm25,273,21,97,55,2378.68
4/9/2024,CN,Beijing,pm25,288,57,168,109,7463.29
5/9/2024,CN,Beijing,pm25,212,5,156,25,17458.9
6/9/2024,CN,Beijing,pm25,265,13,82,38,2342.16
7/9/2024,CN,Beijing,pm25,279,30,99,57,1793.15
8/9/2024,CN,Beijing,pm25,269,25,102,65,2106.15
9/9/2024,CN,Beijing,pm25,286,17,163,122,7410.89
10/9/2024,CN,Beijing,pm25,187,5,149,21,8077.56
11/9/2024,CN,Beijing,pm25,264,9,82,30,2283.94
12/9/2024,CN,Beijing,pm25,273,9,95,34,2777
13/09/2024,CN,Beijing,pm25,284,17,93,50,1914.44
14/09/2024,CN,Beijing,pm25,234,9,89,25,4361.69
15/09/2024,CN,Beijing,pm25,281,17,95,50,2710.69
16/09/2024,CN,Beijing,pm25,288,25,127,70,4218.1
17/09/2024,CN,Beijing,pm25,275,25,104,53,2093.33
18/09/2024,CN,Beijing,pm25,288,25,151,68,3948.02
19/09/2024,CN,Beijing,pm25,284,38,151,87,6112.4
20/09/2024,CN,Beijing,pm25,203,5,164,50,38416.2
21/09/2024,CN,Beijing,pm25,74,5,55,13,2956.03
22/09/2024,CN,Beijing,pm25,171,5,78,21,3144.75
23/09/2024,CN,Beijing,pm25,282,25,302,61,4005.75
24/09/2024,CN,Beijing,pm25,286,59,157,93,5723.13
25/09/2024,CN,Beijing,pm25,262,9,175,74,39329.1
26/09/2024,CN,Beijing,pm25,284,13,318,68,9098.6
27/09/2024,CN,Beijing,pm25,288,46,139,82,2612.54
28/09/2024,CN,Beijing,pm25,284,68,160,99,4330.17
29/09/2024,CN,Beijing,pm25,288,5,170,151,20526.9
30/09/2024,CN,Beijing,pm25,110,5,65,21,2771.77
1/10/2024,CN,Beijing,pm25,152,5,63,13,2429.11
2/10/2024,CN,Beijing,pm25,241,9,78,25,2854.82
3/10/2024,CN,Beijing,pm25,284,21,112,57,2697.48
4/10/2024,CN,Beijing,pm25,288,72,159,122,7521.86
5/10/2024,CN,Beijing,pm25,284,91,171,154,2547.49
6/10/2024,CN,Beijing,pm25,283,59,177,157,3454.54
7/10/2024,CN,Beijing,pm25,250,9,149,61,10495.3
8/10/2024,CN,Beijing,pm25,284,13,159,42,12164.9
9/10/2024,CN,Beijing,pm25,288,55,195,161,17019.7
10/10/2024,CN,Beijing,pm25,193,5,172,21,14681.9
11/10/2024,CN,Beijing,pm25,284,13,165,85,14863.9
12/10/2024,CN,Beijing,pm25,285,74,191,158,9803.51
13/10/2024,CN,Beijing,pm25,287,119,199,171,1092.29
14/10/2024,CN,Beijing,pm25,283,97,212,175,2831.42
15/10/2024,CN,Beijing,pm25,281,13,198,63,21363.9
16/10/2024,CN,Beijing,pm25,283,46,117,70,1196.52
17/10/2024,CN,Beijing,pm25,281,70,153,95,3415.7
18/10/2024,CN,Beijing,pm25,287,5,162,104,28051.7
19/10/2024,CN,Beijing,pm25,116,5,99,25,3194.25
20/10/2024,CN,Beijing,pm25,280,17,99,59,2006.63
21/10/2024,CN,Beijing,pm25,285,30,155,104,6947.44
22/10/2024,CN,Beijing,pm25,253,9,154,42,17270.8
23/10/2024,CN,Beijing,pm25,283,25,161,76,7864.15
24/10/2024,CN,Beijing,pm25,287,65,184,117,6275.14
25/10/2024,CN,Beijing,pm25,288,114,250,190,5913.8
26/10/2024,CN,Beijing,pm25,287,161,301,228,8758.77
27/10/2024,CN,Beijing,pm25,193,9,204,34,28549
28/10/2024,CN,Beijing,pm25,284,17,157,70,13508.6
29/10/2024,CN,Beijing,pm25,285,95,188,162,2514.26
30/10/2024,CN,Beijing,pm25,288,13,242,167,12678.6
31/10/2024,CN,Beijing,pm25,286,63,271,175,17307.5
1/11/2024,CN,Beijing,pm25,286,152,242,181,2237.53
2/11/2024,CN,Beijing,pm25,286,87,244,174,4900.02
3/11/2024,CN,Beijing,pm25,211,5,199,163,52005.2
4/11/2024,CN,Beijing,pm25,127,5,104,34,4505.89
5/11/2024,CN,Beijing,pm25,272,17,134,61,4958.08
6/11/2024,CN,Beijing,pm25,286,13,163,102,14720
7/11/2024,CN,Beijing,pm25,286,97,202,158,4086.63
8/11/2024,CN,Beijing,pm25,287,161,227,181,1031.94
9/11/2024,CN,Beijing,pm25,288,157,219,187,1088.23
10/11/2024,CN,Beijing,pm25,286,70,217,186,18133.9
11/11/2024,CN,Beijing,pm25,286,97,183,152,2721.81
12/11/2024,CN,Beijing,pm25,281,99,211,155,5330.71
13/11/2024,CN,Beijing,pm25,277,68,216,119,17745.9
14/11/2024,CN,Beijing,pm25,286,57,163,107,4121.63
15/11/2024,CN,Beijing,pm25,285,46,176,152,10709.4
16/11/2024,CN,Beijing,pm25,262,9,177,38,29894.9
17/11/2024,CN,Beijing,pm25,240,5,91,25,3470.62
18/11/2024,CN,Beijing,pm25,286,13,99,63,2077.52
19/11/2024,CN,Beijing,pm25,280,55,157,97,9966.68
20/11/2024,CN,Beijing,pm25,286,68,158,144,4094.98
21/11/2024,CN,Beijing,pm25,278,9,155,25,13556.4
22/11/2024,CN,Beijing,pm25,285,13,89,42,3015.56
23/11/2024,CN,Beijing,pm25,287,46,137,91,3745.43
24/11/2024,CN,Beijing,pm25,287,102,184,154,5022.86
25/11/2024,CN,Beijing,pm25,227,5,189,50,47512.1
26/11/2024,CN,Beijing,pm25,100,5,55,13,1955.84
